,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rpl7a,9.34479514181492e-178,1.59440531446627,0.998,0.804,3.10032268419994e-173
Rps15,2.51741598466344e-177,1.80163483919391,1,0.858,8.35203101231791e-173
Rps17,1.98699431935138e-176,1.84551671275916,1,0.829,6.59225105331207e-172
Pfkm,1.74374142404869e-175,-1.78472034826849,0.067,0.673,5.78521092256634e-171
Hepacam,6.26919994022456e-175,-2.09092927443451,0.132,0.748,2.0799324641683e-170
Rpl29,1.69934174471257e-174,1.69799150683221,0.998,0.777,5.6379061064329e-170
Rpl13a,1.70967797728278e-174,2.12801198191444,0.999,0.809,5.67219862523107e-170
Trpm3,1.20392249725108e-172,-1.9667242783791,0.014,0.559,3.9942536691299e-168
Slc6a9,4.88434094093557e-171,-1.82710713849186,0.078,0.678,1.6204777939742e-166
Tubb5,9.88343395040049e-171,2.1871898268892,0.983,0.369,3.27902688172437e-166
Rps16,1.00120098308328e-170,1.47907121561823,1,0.926,3.32168450157538e-166
Calm2,1.49920341297961e-170,1.76263817918885,0.992,0.637,4.97390716324246e-166
Igtp,1.67565151915074e-170,-2.57632112524705,0.056,0.642,5.55930904508641e-166
Aldh1a1,1.41718578521393e-169,-1.73582019527001,0.041,0.61,4.70179727960426e-165
Scrg1,8.60842991308851e-169,-1.61578078323666,0.012,0.543,2.85601879226538e-164
Hmgb1,1.02796815103505e-168,1.58087095599971,0.998,0.732,3.41048993468899e-164
Pebp1,1.09296996643167e-168,1.72935627030489,0.993,0.579,3.62614645763035e-164
Nrxn1,2.79910595232502e-167,-1.70496275871497,0.043,0.61,9.28659381802871e-163
Pfn1,2.92572606980381e-167,1.79274691546679,1,0.644,9.70668138178811e-163
Txn1,3.63496904085276e-166,1.64228154042622,0.998,0.703,1.20597367868372e-161
Rps12,3.95994910476838e-166,1.60964344130622,0.995,0.829,1.313792314489e-161
Rpl36,5.77487186452786e-165,1.67927362559379,0.998,0.887,1.91592923849441e-160
Tril,5.57845057917142e-164,-2.83553674289163,0.128,0.721,1.8507625486517e-159
Timp4,1.63564062674888e-163,-2.28151314011,0.088,0.676,5.42656490736474e-159
Eif5a,2.1864636397918e-163,1.61735941358421,0.996,0.66,7.25403041773727e-159
Cyb5r3,2.38447190475656e-163,1.782460485334,0.958,0.239,7.91096243841085e-159
S100a6,3.56246718684183e-163,2.23884883276217,0.997,0.709,1.18191973857852e-158
Ecrg4,4.92385652498724e-163,2.69707408591944,0.865,0.061,1.63358787929502e-158
Calm1,6.15301668201966e-163,1.48275338036839,1,0.838,2.04138634459366e-158
Ranbp1,1.22987809406818e-162,1.64671635747536,0.994,0.604,4.08036655269e-158
Tuba1b,2.33547331754891e-162,1.79817329379154,0.992,0.642,7.74839982563201e-158
Rps14,1.11274762312994e-161,1.52126220927324,1,0.935,3.69176278925819e-157
Tap1,2.37140960135177e-161,-2.03587911316313,0.039,0.586,7.86762563440475e-157
Cpe,3.00128519155078e-161,-2.53578487692824,0.577,0.923,9.95736388000801e-157
Hmox1,5.59225171836576e-161,-3.32792528941654,0.257,0.82,1.85534135260221e-156
2200002D01Rik,9.60238076562231e-160,2.44248009980446,0.847,0.023,3.18578186661051e-155
Rpl15,1.7427938993875e-159,1.44920445594461,0.998,0.903,5.78206731999792e-155
Mdga2,2.22564299282637e-159,-1.33579397913469,0.011,0.514,7.38401575730005e-155
Cd81,5.58708788426869e-159,-1.8203374026246,0.985,0.986,1.85362814736382e-154
Rpl37,1.12151890641746e-158,1.61776630386071,1,0.908,3.72086327582122e-154
Ifit1,1.23109035563409e-158,-2.74487214881766,0.021,0.541,4.08438847288723e-154
Rps21,1.68314161508813e-158,1.47784192742387,0.997,0.836,5.5841589363779e-154
Fgfr3,1.74978432627745e-157,-2.2593789064631,0.168,0.745,5.80525945929069e-153
